SKU,Brand,Model,CPU,RAM,Primary_Storage,GPU,Screen_Size,Resolution,Weight_kg,OS,Type,Battery_Hours,Touchscreen,Price_INR
LTP00001,Avita,Notebook,i5-11400H,8GB,256GB SSD,Integrated,14.0,FHD,1.5,Windows 11,Notebook,5.5,No,42000
LTP00002,Microsoft,Notebook,Ryzen 7 5700U,16GB,256GB SSD,MX550 2GB,14.0,FHD,1.8,Windows 11,Notebook,5.8,No,93000
LTP00003,HP,Netbook,i3-1215U,8GB,512GB HDD,MX550 2GB,11.6,FHD,1.1,macOS,Netbook,8.2,No,33000
LTP00004,Apple,Ultrabook,Apple M1,4GB,256GB SSD,Integrated,13.3,Retina,1.9,macOS,Ultrabook,17.2,No,88000
LTP00005,Apple,Notebook,Apple M1 Pro,8GB,512GB SSD,Integrated,14.0,Retina,2.0,macOS,Notebook,13.0,No,112000
LTP00006,MSI,Notebook,i9-12900H,8GB,256GB SSD,Integrated,15.6,FHD,1.7,macOS,Notebook,9.7,No,95000
LTP00007,Avita,Ultrabook,Ryzen 7 5800H,8GB,1TB SSD,MX550 2GB,14.0,FHD,1.4,Windows 11,Ultrabook,7.9,No,60000
LTP00008,Lenovo,Ultrabook,i5-1135G7,8GB,256GB SSD,Integrated,14.0,FHD,1.4,Windows 10,Ultrabook,8.0,No,48000
LTP00009,Microsoft,Gaming Series,i5-12500H,32GB,1TB SSD,RTX 4060 8GB,16.0,FHD,2.3,Windows 10,Gaming Series,4.4,No,185000
LTP00010,Acer,Business Series,i7-1255U,8GB,2TB SSD,GTX 1650 4GB,14.0,HD,2.1,Windows 10,Business Series,7.7,No,99000
LTP00011,Dell,Ultrabook,Ryzen 9 5900HS,16GB,512GB SSD,Integrated,13.3,FHD,1.9,Windows 10,Ultrabook,5.4,No,72000
LTP00012,Microsoft,Gaming Series,i7-12700H,16GB,2TB SSD,RTX 4050 6GB,16.0,4K,2.7,Linux,Gaming Series,5.3,No,183000
LTP00013,MSI,Business Series,Ryzen 5 5500U,16GB,512GB SSD,GTX 1650 4GB,15.6,FHD,1.9,Linux,Business Series,7.9,Yes,103000
LTP00014,Dell,Notebook,i3-1215U,16GB,512GB SSD,Integrated,14.0,FHD,2.1,macOS,Notebook,9.4,No,54000
LTP00015,Samsung,Gaming Series,i7-12700H,32GB,1TB SSD,GTX 1650 4GB,16.0,QHD,2.0,Windows 10,Gaming Series,5.0,No,133000
LTP00016,Infinix,Netbook,i3-1115G4,4GB,256GB HDD,Integrated,11.6,HD,1.0,Windows 11,Netbook,9.7,No,9000
LTP00017,Microsoft,Notebook,i3-1115G4,8GB,512GB SSD,Integrated,15.6,QHD,1.6,Windows 10,Notebook,5.0,No,85000
LTP00018,Samsung,Notebook,Ryzen 9 5900HS,8GB,256GB SSD,Integrated,14.0,FHD,1.5,Windows 11,Notebook,7.9,No,74000
LTP00019,Lenovo,Notebook,Ryzen 9 5900HX,4GB,256GB SSD,Integrated,14.0,FHD,2.3,Windows 10,Notebook,7.8,No,50000
LTP00020,HP,Netbook,Ryzen 3 3250U,8GB,256GB SSD,MX550 2GB,13.3,HD,1.1,DOS,Netbook,8.7,No,34000
LTP00021,HP,Notebook,i5-1235U,16GB,256GB SSD,Integrated,14.0,FHD,1.8,Windows 10,Notebook,5.8,No,67000
LTP00022,Realme,Business Series,Ryzen 9 5900HX,16GB,1TB SSD,GTX 1650 4GB,14.0,QHD,1.6,Windows 10,Business Series,5.6,No,104000
LTP00023,Acer,Notebook,i7-12700H,16GB,512GB SSD,Integrated,15.6,QHD,2.2,macOS,Notebook,5.5,No,78000
LTP00024,Dell,Netbook,i3-1115G4,8GB,512GB HDD,Integrated,11.6,HD,1.5,macOS,Netbook,8.8,No,26000
LTP00025,Apple,Ultrabook,Apple M2,8GB,256GB SSD,Integrated,13.3,Retina,1.9,macOS,Ultrabook,13.3,No,98000
LTP00026,Microsoft,Gaming Series,Ryzen 7 5800H,32GB,512GB SSD,RTX 3050 4GB,15.6,FHD,2.7,Windows 11,Gaming Series,5.3,No,148000
LTP00027,Infinix,Gaming Series,i9-12900H,16GB,512GB SSD,RTX 4060 8GB,15.6,FHD,2.7,Windows 11,Gaming Series,4.0,No,136000
LTP00028,ASUS,Notebook,i7-12700H,8GB,256GB SSD,MX550 2GB,15.6,FHD,1.9,Linux,Notebook,8.4,No,68000
LTP00029,Dell,Notebook,i5-11400H,4GB,1TB SSD,MX550 2GB,15.6,FHD,2.3,Windows 11,Notebook,5.6,No,58000
LTP00030,Dell,Gaming Series,i5-12500H,16GB,2TB SSD,RTX 3060 6GB,17.3,FHD,2.7,Windows 11,Gaming Series,5.2,No,123000
LTP00031,MSI,Netbook,Ryzen 3 3250U,4GB,512GB HDD,Integrated,11.6,HD,1.1,macOS,Netbook,8.2,Yes,41000
LTP00032,MSI,Gaming Series,Ryzen 9 5900HS,16GB,2TB SSD,RTX 3070 8GB,16.0,QHD,2.8,macOS,Gaming Series,5.2,No,159000
LTP00033,Avita,Ultrabook,Ryzen 3 3250U,16GB,256GB SSD,Integrated,13.3,HD,1.2,Windows 10,Ultrabook,7.4,No,37000
LTP00034,MSI,Gaming Series,Ryzen 9 5900HS,32GB,1TB SSD,RTX 4060 8GB,15.6,QHD,2.0,Windows 11,Gaming Series,5.3,No,168000
LTP00035,MSI,Notebook,Ryzen 9 5900HX,16GB,256GB SSD,Integrated,15.6,QHD,2.3,Linux,Notebook,8.0,No,112000
LTP00036,Realme,Gaming Series,Ryzen 9 5900HS,16GB,512GB SSD,RTX 4050 6GB,16.0,FHD,2.6,Linux,Gaming Series,5.5,No,113000
LTP00037,Samsung,Ultrabook,i5-11400H,16GB,256GB SSD,Integrated,14.0,FHD,1.1,Linux,Ultrabook,5.8,No,66000
LTP00038,ASUS,Notebook,Ryzen 7 5700U,8GB,256GB SSD,MX550 2GB,15.6,4K,2.0,macOS,Notebook,8.5,No,78000
LTP00039,MSI,Ultrabook,Ryzen 5 5500U,16GB,512GB SSD,MX550 2GB,13.3,FHD,1.3,macOS,Ultrabook,7.4,No,90000
LTP00040,MSI,Gaming Series,Ryzen 7 5800H,16GB,1TB SSD,RTX 4050 6GB,17.3,FHD,2.5,Windows 11,Gaming Series,3.4,No,124000
LTP00041,MSI,Netbook,i3-1215U,8GB,256GB HDD,MX550 2GB,13.3,HD,0.9,macOS,Netbook,6.1,No,31467
LTP00042,ASUS,Ultrabook,i3-1215U,8GB,256GB SSD,Integrated,13.3,FHD,1.7,Windows 10,Ultrabook,7.8,No,44000
LTP00043,Apple,Notebook,Apple M1,16GB,256GB SSD,Integrated,14.0,Retina,2.0,macOS,Notebook,17.6,No,117000
LTP00044,MSI,Netbook,Ryzen 3 3250U,4GB,512GB HDD,Integrated,13.3,FHD,1.3,Windows 11,Netbook,6.5,No,45000
LTP00045,Apple,Ultrabook,Apple M1 Pro,4GB,1TB SSD,Integrated,14.0,Retina,1.8,macOS,Ultrabook,12.6,No,123000
LTP00046,Samsung,Gaming Series,Ryzen 7 5800H,16GB,2TB SSD,RTX 4060 8GB,17.3,QHD,2.4,Windows 11,Gaming Series,5.5,No,146000
LTP00047,ASUS,Gaming Series,i5-12500H,16GB,1TB SSD,RTX 3070 8GB,17.3,FHD,2.0,macOS,Gaming Series,5.6,No,115000
LTP00048,Acer,Netbook,Ryzen 3 3250U,4GB,256GB SSD,Integrated,13.3,HD,1.4,macOS,Netbook,8.8,No,21000
LTP00049,Dell,Notebook,i9-12900H,8GB,1TB SSD,Integrated,15.6,FHD,2.1,Linux,Notebook,6.7,No,84000
LTP00050,Acer,Notebook,i7-12700H,16GB,1TB SSD,Integrated,14.0,FHD,1.7,macOS,Notebook,7.9,No,82000
LTP00051,HP,Gaming Series,i9-12900H,16GB,512GB SSD,RTX 3060 6GB,15.6,FHD,2.8,Windows 11,Gaming Series,4.7,No,116000
LTP00052,Samsung,Notebook,i3-1115G4,8GB,512GB SSD,MX550 2GB,14.0,FHD,2.2,macOS,Notebook,5.6,Yes,55000
LTP00053,Realme,Ultrabook,i3-1215U,16GB,512GB SSD,Integrated,13.3,HD,1.8,Windows 11,Ultrabook,8.0,No,44000
LTP00054,Microsoft,Netbook,i3-1215U,4GB,512GB HDD,MX550 2GB,11.6,FHD,1.0,macOS,Netbook,6.8,No,49000
LTP00055,Lenovo,Ultrabook,i7-1255U,8GB,1TB SSD,MX550 2GB,13.3,FHD,1.7,Windows 10,Ultrabook,8.5,No,78000
LTP00056,Acer,Gaming Series,Ryzen 9 5900HX,16GB,512GB SSD,RTX 3070 8GB,16.0,QHD,2.1,Windows 11,Gaming Series,3.5,No,131000
LTP00057,Realme,Business Series,Ryzen 7 5800H,16GB,2TB SSD,MX550 2GB,15.6,FHD,1.9,Windows 10,Business Series,5.4,Yes,87000
