Brand,CPU,RAM,Primary_Storage,GPU,Screen_Size,Resolution,Weight_kg,OS,Type,Battery_Hours,Touchscreen,Price_INR
Dell,i7-1255U,32GB,1TB SSD,MX550 2GB,14.0,FHD,1.5,Linux,Notebook,8.8,No,105000
Infinix,i5-1135G7,16GB,256GB SSD,Integrated,14.0,FHD,1.9,Windows 10,Notebook,6.0,No,54000
Dell,Ryzen 7 5800H,16GB,1TB SSD,GTX 1650 4GB,16.0,FHD,2.5,Linux,Gaming Series,3.1,No,105000
ASUS,i3-1215U,4GB,512GB HDD,MX550 2GB,13.3,HD,1.1,macOS,Netbook,7.2,No,28000
Acer,Ryzen 5 5500U,8GB,1TB SSD,MX550 2GB,14.0,QHD,1.6,Windows 11,Business Series,7.9,No,70000
Microsoft,i3-1215U,4GB,256GB SSD,MX550 2GB,11.6,HD,1.5,macOS,Netbook,7.9,No,23028
Apple,Apple M2,8GB,512GB SSD,Integrated,15.6,Retina,2.1,macOS,Notebook,12.7,No,107000
HP,i3-1215U,4GB,256GB SSD,Integrated,11.6,HD,1.4,macOS,Netbook,9.3,No,25000
Samsung,Ryzen 7 5800H,16GB,1TB SSD,MX550 2GB,13.3,QHD,1.8,Windows 11,Ultrabook,5.8,No,105000
Dell,Ryzen 9 5900HX,16GB,512GB SSD,RTX 3070 8GB,16.0,FHD,2.5,Windows 10,Gaming Series,3.1,No,111000
Lenovo,Ryzen 9 5900HS,16GB,2TB SSD,RTX 4050 6GB,16.0,FHD,2.4,Linux,Gaming Series,3.9,No,134000
Samsung,Ryzen 5 5600H,8GB,256GB SSD,MX550 2GB,15.6,FHD,2.2,Linux,Notebook,6.4,No,62000
MSI,Ryzen 3 3250U,32GB,512GB SSD,Integrated,15.6,4K,2.3,Linux,Notebook,5.4,No,120000
Avita,i5-1135G7,16GB,1TB SSD,Integrated,15.6,FHD,2.1,Windows 10,Notebook,5.7,No,58000
Apple,Apple M1 Pro,16GB,512GB SSD,Integrated,13.3,Retina,1.7,macOS,Ultrabook,14.4,No,143000
Dell,i7-12700H,16GB,256GB SSD,Integrated,15.6,FHD,1.8,Windows 11,Notebook,9.8,Yes,82000
Samsung,i3-1215U,4GB,256GB SSD,MX550 2GB,14.0,FHD,1.6,macOS,Ultrabook,9.0,No,46000
Avita,i5-1235U,16GB,1TB SSD,MX550 2GB,15.6,HD,1.7,Linux,Notebook,7.8,No,61000
Infinix,i7-1255U,16GB,512GB SSD,Integrated,14.0,QHD,1.7,Windows 11,Notebook,8.0,Yes,79000
Lenovo,i5-12500H,16GB,1TB SSD,RTX 4060 8GB,16.0,QHD,2.5,macOS,Gaming Series,4.8,No,123000
